university_id,program_id,student_gre,student_gpa,years_experience_pre_degree,salary,graduation_year,job_sector,record_id
1,3,307.0,3.8,7,54064,2016,Technology,71
1,3,340.0,3.1,4,76300,2019,Non-profit,72
1,3,288.0,3.94,1,49520,2016,Non-profit,73
1,3,275.0,2.04,10,47162,2020,Non-profit,74
1,3,311.0,3.56,9,92681,2019,Technology,75
1,3,310.0,2.61,7,66064,2021,Non-profit,76
1,3,278.0,3.55,8,78516,2020,Education,77
1,3,291.0,3.79,7,75145,2018,Non-profit,78
1,3,268.0,,8,99510,2019,Finance,79
1,3,284.0,3.77,10,33246,2022,Government,80
1,3,,,4,97584,2016,Government,81
1,3,280.0,2.84,1,54468,2015,Government,82
1,3,270.0,3.96,9,67618,2023,Government,83
1,3,275.0,,3,144694,2016,Technology,84
1,3,243.0,4.18,7,98693,2021,Government,85
1,3,294.0,4.0,3,126561,2021,Healthcare,86
1,3,291.0,,10,141950,2018,Technology,87
1,3,125.0,4.12,2,74775,2022,Healthcare,88
1,3,332.0,3.59,5,136946,2021,Government,89
1,3,328.0,2.67,9,89611,2018,Government,90
1,3,316.0,2.55,6,48078,2022,Healthcare,91
1,3,304.0,3.13,5,135806,2015,Education,92
1,3,340.0,4.0,6,74610,2020,Government,93
1,3,327.0,2.8,10,37136,2022,Non-profit,94
1,3,318.0,3.29,7,114878,2021,Government,95
1,3,299.0,2.48,4,70210,2018,Non-profit,96
1,3,340.0,,2,130095,2017,Technology,97
1,3,315.0,2.21,10,119104,2017,Education,98
1,3,,2.3,9,36153,2020,Technology,99
1,3,317.0,2.85,7,79235,2015,Education,100
1,3,302.0,2.89,1,39013,2015,Non-profit,101
1,3,309.0,3.62,4,82205,2017,Non-profit,102
1,3,285.0,3.97,2,34710,2021,Education,103
1,3,260.0,2.25,10,139910,2018,Healthcare,104
1,3,279.0,,3,46796,2015,Non-profit,105
1,3,,3.54,7,96251,2021,Education,106
1,3,,3.34,8,140190,2017,Technology,107
1,3,298.0,2.05,10,35770,2021,Education,108
1,3,276.0,3.71,5,94596,2019,Healthcare,109
1,3,301.0,3.21,7,114997,2015,Finance,110
1,3,309.0,2.16,9,149646,2015,Non-profit,111
1,3,303.0,4.0,8,129634,2022,Finance,112
1,4,329.0,2.05,1,89590,2023,Education,113
1,4,261.0,2.92,9,111899,2021,Technology,114
1,4,212.0,4.95,9,120443,2023,Government,115
1,4,,3.39,8,117237,2021,Education,116
1,4,331.0,2.87,5,118022,2021,Education,117
1,4,340.0,4.0,0,142998,2022,Finance,118
1,4,296.0,3.49,8,46042,2017,Non-profit,119
1,4,,3.5,10,87252,2016,Education,120
1,4,317.0,2.4,10,39117,2017,Education,121
1,4,340.0,4.0,4,56602,2016,Government,122
1,4,330.0,3.08,10,92373,2017,Finance,123
1,4,,3.39,2,54064,2015,Education,124
1,4,284.0,2.54,3,116608,2015,Government,125
1,4,261.0,2.09,6,75547,2015,Government,126
1,4,289.0,3.03,9,89428,2021,Education,127
1,4,334.0,,10,41533,2021,Healthcare,128
1,4,299.0,2.74,7,68935,2017,Education,129
1,4,290.0,2.26,9,129864,2020,Finance,130
1,4,331.0,3.85,9,50226,2017,Technology,131
1,4,261.0,3.95,1,131259,2022,Non-profit,132
1,4,315.0,3.75,0,149186,2021,Healthcare,133
1,4,315.0,2.62,7,84440,2017,Technology,134
1,4,332.0,2.7,7,81838,2015,Technology,135
1,4,304.0,2.92,5,128951,2020,Healthcare,136
1,4,299.0,2.14,5,85455,2019,Government,137
1,4,321.0,2.12,5,33361,2021,Technology,138
1,4,325.0,2.42,2,40992,2019,Non-profit,139
1,4,287.0,3.09,1,43082,2016,Government,140
1,4,260.0,2.44,10,66206,2022,Healthcare,141
1,5,336.0,3.0,0,126147,2021,Non-profit,142
1,5,300.0,2.71,9,148225,2022,Finance,143
1,5,305.0,3.48,2,81001,2017,Healthcare,144
1,5,308.0,2.2,4,132995,2022,Government,145
1,5,332.0,,7,141459,2022,Government,146
1,5,272.0,3.87,2,89156,2019,Healthcare,147
1,5,274.0,3.8,0,72990,2019,Healthcare,148
1,5,313.0,3.0,2,82965,2021,Non-profit,149
1,5,246.0,4.54,3,101881,2018,Education,150
1,5,293.0,3.07,6,88106,2017,Government,151
1,5,316.0,3.45,0,64011,2019,Education,152
1,5,321.0,2.14,7,129189,2022,Healthcare,153
1,5,266.0,3.85,9,123353,2020,Finance,154
1,5,267.0,3.79,6,140472,2021,Healthcare,155
1,5,,,1,112997,2022,Education,156
1,5,295.0,2.27,3,91167,2022,Finance,157
1,5,295.0,2.48,3,147215,2016,Non-profit,158
1,5,314.0,,4,69267,2019,Finance,159
1,5,340.0,4.0,3,143317,2015,Technology,160
1,5,264.0,3.53,6,69684,2021,Finance,161
1,5,272.0,2.83,2,43102,2020,Finance,162
1,5,,3.05,3,93990,2015,Technology,163
1,5,340.0,2.33,3,119942,2022,Healthcare,164
1,5,320.0,2.05,6,125052,2017,Healthcare,165
1,5,340.0,4.0,8,54647,2021,Technology,166
1,5,319.0,3.19,1,111200,2015,Technology,167
1,5,193.0,4.69,0,130385,2020,Non-profit,168
1,5,,2.47,3,106811,2017,Government,169
1,5,260.0,3.05,2,101109,2018,Government,170
1,5,337.0,2.69,1,137428,2016,Technology,171
1,5,325.0,2.85,7,76351,2019,Technology,172
1,5,,3.32,9,45454,2015,Government,173
1,5,264.0,2.98,7,135764,2015,Finance,174
1,5,330.0,3.31,2,31035,2020,Government,175
1,5,290.0,2.08,5,92749,2022,Healthcare,176
1,5,,2.46,6,120795,2016,Technology,177
1,5,293.0,3.57,6,80724,2018,Non-profit,178
1,5,289.0,2.63,5,49501,2021,Finance,179
1,5,181.0,4.53,9,119683,2018,Non-profit,180
1,5,,2.44,4,45038,2015,Technology,181
1,5,270.0,,7,78808,2017,Education,182
1,5,314.0,2.3,6,89946,2017,Government,183
2,6,,2.53,9,74438,2015,Government,184
2,6,319.0,2.12,0,109394,2016,Finance,185
2,6,334.0,2.45,1,127230,2020,Education,186
2,6,300.0,3.99,6,92076,2020,Non-profit,187
2,6,309.0,2.08,6,124379,2016,Government,188
2,6,338.0,3.24,1,114698,2023,Healthcare,189
2,6,311.0,2.16,2,136062,2022,Education,190
2,6,,2.09,0,119371,2020,Government,191
2,6,281.0,3.05,4,105155,2022,Government,192
2,6,288.0,2.42,2,139002,2021,Technology,193
2,6,277.0,,0,124186,2020,Government,194
2,6,261.0,2.91,2,77211,2021,Non-profit,195
2,6,322.0,3.34,9,52513,2021,Finance,196
2,6,325.0,2.76,6,35289,2019,Non-profit,197
2,6,314.0,3.44,5,83161,2022,Technology,198
2,6,263.0,3.05,10,79224,2015,Government,199
2,6,,,5,134649,2023,Finance,200
2,6,296.0,3.71,7,120352,2017,Government,201
2,6,295.0,3.33,8,130031,2022,Healthcare,202
2,6,,3.37,10,56602,2017,Technology,203
2,6,298.0,3.64,9,30025,2016,Education,204
2,6,118.0,4.89,1,147112,2015,Non-profit,205
2,6,324.0,,0,37055,2018,Education,206
2,6,131.0,4.51,2,107324,2020,Government,207
2,6,,2.7,5,91155,2020,Education,208
2,6,334.0,,1,61558,2022,Finance,209
2,6,266.0,3.75,5,49356,2016,Government,210
2,6,274.0,2.93,9,107833,2022,Finance,211
2,6,,2.15,6,49370,2015,Finance,212
2,6,316.0,2.64,2,39972,2019,Technology,213
2,6,327.0,2.91,9,41373,2021,Government,214
2,6,303.0,2.76,3,101776,2018,Non-profit,215
2,6,329.0,2.2,6,143541,2020,Technology,216
2,7,320.0,2.21,2,51798,2017,Technology,217
2,7,328.0,2.58,8,108995,2017,Technology,218
2,7,301.0,,10,107995,2015,Government,219
2,7,340.0,4.0,4,37282,2021,Technology,220
2,7,265.0,3.31,5,123685,2021,Non-profit,221
2,7,143.0,4.74,0,90896,2023,Technology,222
2,7,263.0,2.03,5,101374,2021,Technology,223
2,7,295.0,3.16,6,79332,2019,Non-profit,224
2,7,318.0,2.2,8,30472,2020,Non-profit,225
2,7,339.0,,6,136404,2020,Healthcare,226
2,7,284.0,2.24,1,94928,2020,Finance,227
2,7,199.0,4.71,6,60967,2015,Technology,228
2,7,265.0,3.61,9,82382,2020,Healthcare,229
2,7,266.0,3.95,1,80190,2016,Healthcare,230
2,7,304.0,2.9,9,48083,2016,Government,231
2,7,290.0,3.78,3,47949,2021,Non-profit,232
2,7,336.0,3.18,10,30798,2020,Education,233
2,7,275.0,,10,85671,2015,Technology,234
2,7,335.0,2.49,10,129595,2020,Finance,235
2,7,338.0,2.76,9,123967,2022,Technology,236
2,7,298.0,2.3,7,146788,2015,Government,237
2,7,319.0,,9,138894,2016,Finance,238
2,7,281.0,2.83,2,41987,2015,Non-profit,239
2,7,303.0,3.6,9,146907,2015,Education,240
2,7,145.0,4.79,4,125252,2021,Healthcare,241
2,7,208.0,,8,98653,2020,Technology,242
2,7,258.0,4.79,10,96314,2022,Technology,243
2,7,293.0,3.03,5,112131,2015,Finance,244
2,7,273.0,2.73,9,44823,2023,Government,245
2,7,311.0,,6,35437,2018,Healthcare,246
2,8,110.0,4.14,5,120972,2016,Healthcare,247
2,8,262.0,2.48,9,57904,2023,Non-profit,248
2,8,340.0,,5,85640,2021,Government,249
2,8,273.0,2.33,5,50563,2020,Non-profit,250
2,8,306.0,3.45,8,128959,2020,Education,251
2,8,,2.48,5,148779,2016,Technology,252
2,8,297.0,3.65,4,73796,2021,Finance,253
2,8,262.0,2.64,5,37321,2022,Technology,254
2,8,333.0,2.09,10,44006,2017,Non-profit,255
2,8,340.0,4.0,5,141743,2022,Education,256
2,8,311.0,2.53,6,122243,2022,Technology,257
2,8,331.0,3.74,6,64928,2016,Government,258
2,8,,2.66,7,58057,2021,Technology,259
2,8,302.0,2.09,0,54575,2023,Government,260
2,8,,4.0,3,97378,2021,Government,261
2,8,,,9,70258,2019,Technology,262
2,8,273.0,3.94,10,92653,2020,Government,263
2,8,299.0,2.56,8,42059,2022,Healthcare,264
2,8,154.0,4.81,5,49322,2020,Non-profit,265
2,8,291.0,2.25,2,81161,2015,Education,266
2,8,293.0,2.22,2,66193,2016,Healthcare,267
2,8,300.0,2.75,5,73616,2015,Non-profit,268
2,8,291.0,3.8,4,116746,2020,Education,269
2,8,308.0,3.18,8,44561,2015,Non-profit,270
2,8,296.0,2.02,2,64649,2015,Non-profit,271
2,8,320.0,2.7,3,130968,2023,Technology,272
2,8,,2.1,10,97753,2023,Non-profit,273
2,8,270.0,2.15,7,61800,2017,Healthcare,274
2,8,324.0,3.81,9,34262,2019,Education,275
2,8,,3.32,9,83210,2018,Non-profit,276
2,8,267.0,3.57,8,116379,2023,Government,277
2,8,287.0,2.53,1,40665,2019,Healthcare,278
2,8,315.0,2.54,6,48343,2017,Education,279
2,8,277.0,3.94,9,115538,2019,Technology,280
2,8,263.0,2.34,1,71287,2023,Government,281
2,8,320.0,2.93,1,107932,2021,Finance,282
2,8,333.0,2.14,8,124244,2019,Finance,283
2,8,340.0,3.01,7,120543,2015,Finance,284
2,8,319.0,3.69,10,87587,2017,Healthcare,285
2,8,262.0,3.53,1,47942,2019,Government,286
2,8,128.0,4.77,0,59802,2020,Technology,287
2,8,269.0,3.44,1,108786,2019,Education,288
3,9,332.0,3.77,6,136946,2021,Non-profit,289
3,9,,3.6,3,94283,2019,Government,290
3,9,277.0,2.66,0,86044,2017,Government,291
3,9,,3.48,3,61237,2016,Technology,292
3,9,262.0,3.55,7,110750,2021,Non-profit,293
3,9,295.0,2.91,3,104714,2020,Technology,294
3,9,263.0,2.77,10,64348,2019,Finance,295
3,9,279.0,,4,102743,2018,Government,296
3,9,332.0,3.72,6,71229,2018,Education,297
3,9,305.0,3.72,2,125853,2017,Non-profit,298
3,9,280.0,3.85,3,121475,2021,Technology,299
3,9,303.0,3.06,1,75880,2015,Non-profit,300
3,9,301.0,3.89,9,47386,2016,Non-profit,301
3,9,288.0,3.63,9,112478,2017,Finance,302
3,9,,3.31,2,131003,2020,Finance,303
3,9,304.0,3.52,0,56712,2023,Non-profit,304
3,9,304.0,2.93,4,100006,2020,Government,305
3,9,290.0,2.81,7,94217,2019,Education,306
3,9,263.0,2.76,8,109227,2022,Healthcare,307
3,9,335.0,,3,136869,2016,Healthcare,308
3,9,299.0,2.66,7,115129,2022,Education,309
3,9,280.0,2.06,2,32434,2016,Healthcare,310
3,9,285.0,3.86,4,38508,2017,Government,311
3,9,316.0,3.05,6,148446,2022,Government,312
3,9,317.0,,5,99423,2023,Finance,313
3,9,,3.58,4,125576,2019,Technology,314
3,9,291.0,2.56,10,99897,2021,Technology,315
3,9,340.0,4.0,9,77290,2015,Finance,316
3,9,310.0,3.99,8,111425,2021,Education,317
3,9,331.0,2.65,10,47263,2015,Non-profit,318
3,9,267.0,2.03,2,89485,2019,Finance,319
3,9,262.0,3.82,3,40839,2015,Government,320
3,9,326.0,3.27,7,93522,2018,Finance,321
3,9,271.0,3.51,6,58546,2017,Non-profit,322
3,9,282.0,,5,66950,2015,Government,323
3,9,273.0,2.05,8,59975,2022,Technology,324
3,9,278.0,2.72,10,33940,2015,Technology,325
3,9,291.0,3.14,9,52255,2023,Technology,326
3,9,308.0,2.77,4,104375,2015,Education,327
3,10,268.0,3.04,5,79509,2023,Healthcare,328
3,10,290.0,3.54,2,109029,2023,Education,329
3,10,262.0,2.4,7,101042,2016,Government,330
3,10,,2.46,9,79523,2020,Government,331
3,10,301.0,3.45,7,111383,2018,Technology,332
3,10,307.0,3.15,0,138979,2019,Government,333
3,10,284.0,2.8,4,106991,2018,Government,334
3,10,277.0,2.92,10,53458,2017,Technology,335
3,10,293.0,,1,106114,2018,Technology,336
3,10,293.0,2.45,6,86667,2018,Healthcare,337
3,10,297.0,2.81,10,128372,2016,Finance,338
3,10,340.0,3.73,10,47246,2020,Technology,339
3,10,302.0,2.65,5,75473,2018,Education,340
3,10,280.0,2.92,3,91157,2020,Government,341
3,10,333.0,2.41,8,149959,2016,Finance,342
3,10,284.0,3.47,9,130924,2019,Government,343
3,10,302.0,3.58,5,33308,2022,Technology,344
3,10,339.0,3.73,2,68795,2022,Government,345
3,10,332.0,,5,106826,2021,Government,346
3,10,340.0,4.0,0,36745,2017,Healthcare,347
3,10,,2.88,0,48907,2019,Education,348
3,10,,2.19,7,131861,2023,Non-profit,349
3,10,160.0,4.51,0,92255,2022,Finance,350
3,10,,,1,67275,2019,Non-profit,351
3,10,339.0,3.87,2,113940,2023,Healthcare,352
3,10,336.0,,7,111457,2023,Education,353
3,10,328.0,2.29,5,62664,2021,Education,354
3,10,340.0,4.0,10,83647,2015,Government,355
3,10,268.0,2.95,5,48398,2018,Education,356
3,10,299.0,,8,70422,2016,Non-profit,357
3,10,304.0,,3,108229,2016,Non-profit,358
3,10,286.0,2.01,1,38681,2020,Education,359
3,10,302.0,3.16,4,90238,2015,Healthcare,360
3,10,340.0,4.0,8,107472,2015,Education,361
3,10,134.0,4.24,1,35823,2015,Education,362
3,10,,,2,65103,2019,Education,363
3,10,281.0,3.97,0,39686,2023,Technology,364
3,10,311.0,3.06,6,144367,2015,Finance,365
3,10,337.0,2.01,1,111976,2022,Technology,366
3,10,340.0,,1,138793,2021,Finance,367
3,10,317.0,2.72,8,106360,2023,Finance,368
3,10,300.0,2.99,2,51976,2015,Non-profit,369
3,10,340.0,4.0,0,65326,2020,Technology,370
3,11,330.0,2.96,1,38053,2022,Healthcare,371
3,11,265.0,2.94,9,51020,2020,Technology,372
3,11,325.0,3.0,7,131692,2020,Government,373
3,11,270.0,2.59,6,42865,2022,Finance,374
3,11,260.0,2.45,5,115227,2020,Government,375
3,11,,3.13,2,102622,2023,Healthcare,376
3,11,291.0,2.09,6,139017,2022,Technology,377
3,11,299.0,3.47,5,120242,2015,Technology,378
3,11,,,5,88444,2017,Healthcare,379
3,11,323.0,,2,35288,2018,Technology,380
3,11,326.0,3.55,3,96823,2020,Finance,381
3,11,294.0,2.3,4,62025,2017,Non-profit,382
3,11,284.0,3.1,4,119718,2020,Education,383
3,11,313.0,,8,89563,2020,Education,384
3,11,338.0,2.6,3,32747,2020,Technology,385
3,11,279.0,3.71,5,140540,2022,Finance,386
3,11,322.0,3.04,10,129788,2022,Finance,387
3,11,271.0,3.04,10,108689,2019,Technology,388
3,11,262.0,2.1,0,75779,2016,Education,389
3,11,301.0,3.69,8,108884,2018,Technology,390
3,11,265.0,3.88,3,73154,2016,Technology,391
3,11,306.0,,9,135865,2020,Technology,392
3,11,168.0,4.75,10,66846,2017,Education,393
3,11,339.0,3.61,0,101478,2017,Government,394
3,11,308.0,2.23,10,125054,2021,Technology,395
3,11,281.0,2.2,3,138141,2018,Healthcare,396
3,11,340.0,4.0,3,123671,2018,Healthcare,397
3,11,289.0,2.03,8,131972,2019,Technology,398
3,11,307.0,3.94,6,35813,2023,Finance,399
3,11,260.0,2.35,3,51330,2015,Government,400
3,11,340.0,4.0,4,75173,2023,Healthcare,401
3,11,288.0,2.9,0,90727,2019,Non-profit,402
3,11,,4.25,3,67695,2021,Healthcare,403
3,11,267.0,2.72,10,94988,2020,Non-profit,404
3,11,340.0,4.0,3,146476,2020,Technology,405
3,12,261.0,2.73,2,80557,2022,Technology,406
3,12,276.0,3.99,9,113506,2019,Technology,407
3,12,312.0,2.57,9,72791,2020,Finance,408
3,12,279.0,3.23,6,109302,2017,Healthcare,409
3,12,294.0,2.44,3,44031,2023,Government,410
3,12,284.0,3.71,2,132553,2022,Government,411
3,12,307.0,3.7,0,63642,2015,Non-profit,412
3,12,263.0,2.0,9,116566,2016,Government,413
3,12,317.0,,8,67713,2017,Technology,414
3,12,279.0,2.3,1,140413,2018,Finance,415
3,12,320.0,,7,97358,2020,Non-profit,416
3,12,291.0,3.07,10,122679,2023,Technology,417
3,12,297.0,2.72,3,41084,2019,Healthcare,418
3,12,,3.88,9,112501,2019,Finance,419
3,12,297.0,3.49,7,46328,2015,Government,420
3,12,315.0,2.44,0,108648,2022,Government,421
3,12,284.0,2.51,8,51588,2020,Government,422
3,12,340.0,4.0,2,105180,2020,Education,423
3,12,297.0,3.04,6,134793,2018,Non-profit,424
3,12,273.0,2.13,1,58724,2020,Education,425
3,12,312.0,3.32,2,57557,2017,Finance,426
3,12,301.0,2.58,2,32569,2020,Non-profit,427
3,12,266.0,3.41,3,57047,2016,Government,428
3,12,266.0,2.19,2,92136,2022,Finance,429
3,12,326.0,3.3,0,132221,2017,Education,430
3,12,269.0,2.12,9,101702,2019,Healthcare,431
3,12,339.0,3.77,7,135158,2021,Healthcare,432
3,12,263.0,3.43,9,75956,2016,Government,433
3,12,296.0,2.01,2,127604,2020,Non-profit,434
3,12,270.0,2.51,7,104962,2016,Technology,435
3,12,,3.03,7,92844,2017,Healthcare,436
3,12,288.0,3.14,10,144008,2020,Technology,437
3,12,,3.33,10,92750,2018,Government,438
3,12,334.0,2.62,2,120761,2018,Non-profit,439
3,12,299.0,3.62,0,54697,2015,Non-profit,440
3,12,289.0,3.35,5,32277,2023,Government,441
3,12,329.0,3.31,3,107811,2020,Non-profit,442
3,12,,3.0,9,44958,2018,Government,443
3,12,,,9,118699,2023,Finance,444
3,12,295.0,,10,67845,2019,Education,445
3,13,307.0,3.7,10,94287,2019,Education,446
3,13,,3.98,1,60576,2018,Non-profit,447
3,13,304.0,3.27,2,115357,2023,Healthcare,448
3,13,321.0,2.59,8,143874,2022,Government,449
3,13,340.0,4.0,8,93486,2021,Education,450
3,13,337.0,2.73,10,144393,2020,Education,451
3,13,,3.39,2,141546,2020,Non-profit,452
3,13,319.0,,5,111829,2023,Education,453
3,13,340.0,4.0,9,103975,2019,Healthcare,454
3,13,262.0,2.17,4,89974,2015,Technology,455
3,13,,2.5,7,70419,2017,Technology,456
3,13,273.0,2.69,0,102513,2020,Non-profit,457
3,13,340.0,,8,38893,2016,Healthcare,458
3,13,326.0,2.04,3,132959,2015,Healthcare,459
3,13,301.0,3.74,7,37832,2020,Healthcare,460
3,13,267.0,3.35,2,67552,2023,Technology,461
3,13,261.0,3.29,9,89019,2020,Technology,462
3,13,273.0,2.35,5,67695,2023,Non-profit,463
3,13,300.0,3.2,8,89719,2021,Healthcare,464
3,13,309.0,3.49,5,107687,2018,Finance,465
3,13,271.0,3.92,10,136038,2016,Education,466
3,13,273.0,2.56,10,133954,2019,Healthcare,467
3,13,297.0,3.0,1,55768,2020,Non-profit,468
3,13,273.0,3.65,1,99230,2021,Healthcare,469
3,13,289.0,2.06,4,128916,2016,Education,470
3,13,274.0,2.12,4,91017,2022,Healthcare,471
3,13,331.0,2.49,8,69419,2015,Technology,472
3,13,273.0,,8,123547,2018,Education,473
3,13,318.0,2.05,9,56051,2016,Technology,474
3,13,339.0,3.48,9,124567,2022,Education,475
3,13,,,3,66585,2016,Non-profit,476
3,13,305.0,2.9,6,146008,2017,Non-profit,477
3,13,304.0,2.92,1,110810,2019,Non-profit,478
3,13,322.0,3.47,5,89222,2015,Government,479
3,13,316.0,,2,93271,2015,Government,480
4,14,340.0,4.0,7,52547,2017,Government,481
4,14,312.0,2.22,2,88943,2021,Education,482
4,14,318.0,2.63,7,41982,2020,Non-profit,483
4,14,299.0,3.94,8,50787,2015,Non-profit,484
4,14,270.0,2.44,10,124558,2017,Finance,485
4,14,312.0,3.09,8,137607,2020,Technology,486
4,14,303.0,3.84,9,74238,2022,Government,487
4,14,264.0,2.03,4,47804,2021,Non-profit,488
4,14,289.0,,4,44422,2019,Finance,489
4,14,322.0,3.15,6,129856,2021,Education,490
4,14,311.0,,0,110605,2019,Technology,491
4,14,311.0,,5,149096,2016,Government,492
4,14,288.0,2.12,10,43312,2023,Education,493
4,14,338.0,,4,76397,2023,Technology,494
4,14,263.0,2.63,10,111939,2017,Government,495
4,14,317.0,,8,38411,2015,Education,496
4,14,,3.77,9,127415,2020,Education,497
4,14,312.0,3.85,9,99420,2018,Government,498
4,14,293.0,,8,32812,2019,Healthcare,499
4,14,330.0,,6,144559,2016,Government,500
4,14,299.0,2.04,4,101326,2016,Education,501
4,14,278.0,2.64,10,106141,2021,Education,502
4,14,,4.22,10,57210,2015,Non-profit,503
4,14,307.0,2.6,7,122661,2015,Non-profit,504
4,14,288.0,2.24,6,93575,2019,Non-profit,505
4,14,292.0,3.17,9,91971,2019,Education,506
4,14,330.0,3.15,9,70437,2019,Technology,507
4,14,297.0,2.01,8,38255,2023,Government,508
4,14,286.0,3.8,0,86913,2023,Education,509
4,14,265.0,3.29,9,102417,2018,Finance,510
4,14,311.0,,1,118581,2021,Technology,511
4,14,269.0,3.87,4,99167,2019,Education,512
4,14,312.0,2.09,8,45026,2023,Government,513
4,14,142.0,4.37,5,132475,2021,Non-profit,514
4,14,337.0,2.65,8,65405,2020,Healthcare,515
4,14,267.0,2.24,5,48692,2022,Technology,516
4,14,336.0,3.9,2,111981,2017,Finance,517
4,14,301.0,,10,36662,2016,Government,518
4,14,277.0,2.58,3,77251,2018,Healthcare,519
4,15,266.0,2.5,7,87999,2021,Healthcare,520
4,15,,2.51,5,40832,2019,Finance,521
4,15,301.0,3.29,4,119147,2017,Education,522
4,15,299.0,2.37,2,98087,2016,Finance,523
4,15,,3.06,8,122024,2018,Education,524
4,15,335.0,2.2,0,131342,2018,Healthcare,525
4,15,285.0,2.83,7,67309,2016,Government,526
4,15,,2.66,3,32182,2020,Technology,527
4,15,267.0,3.45,0,81556,2018,Finance,528
4,15,268.0,2.0,4,31686,2015,Government,529
4,15,324.0,2.8,3,93915,2019,Technology,530
4,15,,2.44,6,44359,2023,Healthcare,531
4,15,276.0,2.92,8,34594,2016,Healthcare,532
4,15,340.0,4.0,1,84126,2016,Finance,533
4,15,310.0,2.7,10,94324,2022,Government,534
4,15,283.0,2.12,2,123414,2015,Education,535
4,15,291.0,2.91,10,41390,2019,Education,536
4,15,287.0,2.8,7,112064,2023,Finance,537
4,15,272.0,,10,52861,2021,Education,538
4,15,338.0,3.37,3,34828,2018,Healthcare,539
4,15,270.0,2.8,0,33948,2022,Technology,540
4,15,339.0,2.15,10,90821,2022,Government,541
4,15,314.0,2.96,4,62937,2015,Finance,542
4,15,340.0,4.0,6,70257,2016,Non-profit,543
