program_id,university_id,student_gre,student_toefl,student_gpa,student_work_experience,admission_result,admission_year,record_id
2,1,316.0,82.0,3.44,40.0,Rejected,2023,38
2,1,201.0,125.0,4.46,-1.0,Rejected,2023,39
2,1,280.0,,,,Admitted,2018,40
2,1,,60.0,2.38,28.0,Rejected,2018,41
2,1,,70.0,2.24,54.0,Rejected,2018,42
2,1,269.0,118.0,3.65,28.0,Admitted,2022,43
2,1,298.0,103.0,3.5,,Admitted,2022,44
2,1,268.0,65.0,3.74,31.0,Rejected,2022,45
2,1,254.0,149.0,4.89,-2.0,Rejected,2023,46
2,1,303.0,65.0,2.43,58.0,Admitted,2022,47
2,1,269.0,106.0,2.37,59.0,Admitted,2018,48
2,1,318.0,86.0,2.35,38.0,Admitted,2020,49
2,1,300.0,110.0,3.39,51.0,Admitted,2020,50
2,1,298.0,72.0,3.62,13.0,Admitted,2018,51
2,1,260.0,80.0,,29.0,Rejected,2023,52
2,1,325.0,82.0,2.4,59.0,Rejected,2022,53
2,1,311.0,94.0,3.75,28.0,Rejected,2022,54
2,1,280.0,89.0,2.55,32.0,Admitted,2022,55
2,1,327.0,75.0,2.65,38.0,Admitted,2023,56
2,1,337.0,92.0,2.86,19.0,Admitted,2018,57
2,1,284.0,70.0,,33.0,Admitted,2021,58
2,1,316.0,110.0,2.26,37.0,Rejected,2023,59
2,1,329.0,100.0,2.86,53.0,Rejected,2018,60
2,1,319.0,,3.67,18.0,Rejected,2019,61
2,1,301.0,95.0,2.95,16.0,Admitted,2020,62
2,1,294.0,77.0,2.67,9.0,Rejected,2019,63
2,1,320.0,106.0,3.26,48.0,Admitted,2020,64
2,1,295.0,113.0,3.48,37.0,Admitted,2021,65
2,1,277.0,82.0,2.47,11.0,Admitted,2019,66
2,1,333.0,116.0,2.63,42.0,Admitted,2018,67
2,1,340.0,120.0,4.0,,Admitted,2021,68
2,1,221.0,132.0,4.69,,Rejected,2023,69
2,1,270.0,120.0,3.16,5.0,Rejected,2019,70
2,1,316.0,67.0,2.39,43.0,Rejected,2021,71
2,1,,120.0,4.0,94.0,Admitted,2019,72
2,1,292.0,117.0,3.41,60.0,Admitted,2018,73
2,1,,114.0,2.79,7.0,Rejected,2019,74
2,1,,110.0,2.16,16.0,Admitted,2019,75
3,1,267.0,79.0,3.44,,Admitted,2023,76
3,1,278.0,87.0,2.19,57.0,Admitted,2020,77
3,1,,79.0,2.14,36.0,Rejected,2021,78
3,1,340.0,120.0,4.0,106.0,Rejected,2022,79
3,1,289.0,104.0,2.05,25.0,Admitted,2021,80
3,1,329.0,73.0,,,Rejected,2021,81
3,1,266.0,,3.28,46.0,Rejected,2020,82
3,1,325.0,107.0,3.53,17.0,Rejected,2023,83
3,1,283.0,96.0,2.72,19.0,Rejected,2021,84
3,1,284.0,91.0,3.1,3.0,Rejected,2019,85
3,1,,,3.22,24.0,Admitted,2018,86
3,1,294.0,66.0,2.6,29.0,Admitted,2020,87
3,1,285.0,84.0,3.43,35.0,Admitted,2020,88
3,1,340.0,120.0,4.0,,Admitted,2020,89
3,1,333.0,93.0,3.31,2.0,Admitted,2021,90
3,1,311.0,69.0,3.35,51.0,Admitted,2019,91
3,1,287.0,109.0,2.39,14.0,Rejected,2019,92
3,1,294.0,81.0,3.9,50.0,Admitted,2018,93
3,1,264.0,72.0,2.66,32.0,Rejected,2018,94
3,1,294.0,86.0,3.6,13.0,Rejected,2022,95
3,1,283.0,74.0,2.62,3.0,Admitted,2022,96
3,1,337.0,93.0,,34.0,Admitted,2019,97
3,1,272.0,112.0,,33.0,Rejected,2021,98
3,1,,118.0,2.8,49.0,Rejected,2019,99
3,1,318.0,75.0,,,Rejected,2021,100
3,1,298.0,,2.47,14.0,Rejected,2019,101
3,1,290.0,,3.68,,Rejected,2023,102
3,1,297.0,91.0,3.16,20.0,Admitted,2019,103
3,1,,105.0,3.47,57.0,Rejected,2023,104
3,1,278.0,,3.81,56.0,Admitted,2019,105
3,1,313.0,116.0,3.69,,Admitted,2020,106
3,1,340.0,120.0,4.0,104.0,Rejected,2023,107
3,1,295.0,71.0,3.93,60.0,Rejected,2020,108
3,1,272.0,77.0,2.47,17.0,Rejected,2019,109
3,1,332.0,,,,Admitted,2022,110
3,1,309.0,90.0,2.54,38.0,Rejected,2021,111
3,1,315.0,70.0,2.95,54.0,Admitted,2018,112
3,1,331.0,120.0,3.12,55.0,Admitted,2022,113
3,1,295.0,94.0,2.17,31.0,Rejected,2018,114
3,1,318.0,90.0,,10.0,Admitted,2021,115
3,1,,113.0,3.24,9.0,Rejected,2018,116
3,1,267.0,72.0,3.07,21.0,Rejected,2023,117
4,1,,66.0,3.95,49.0,Admitted,2021,118
4,1,281.0,106.0,3.59,10.0,Rejected,2018,119
4,1,337.0,66.0,2.5,40.0,Rejected,2021,120
4,1,304.0,118.0,3.31,20.0,Admitted,2021,121
4,1,336.0,73.0,3.51,54.0,Rejected,2018,122
4,1,340.0,120.0,4.0,89.0,Rejected,2023,123
4,1,305.0,79.0,3.19,21.0,Rejected,2019,124
4,1,315.0,80.0,2.34,15.0,Admitted,2019,125
4,1,325.0,,3.68,25.0,Rejected,2023,126
4,1,270.0,103.0,2.5,9.0,Rejected,2023,127
4,1,290.0,69.0,2.54,,Rejected,2020,128
4,1,217.0,,4.41,-9.0,Admitted,2022,129
4,1,261.0,62.0,3.01,33.0,Rejected,2021,130
4,1,312.0,68.0,3.05,,Admitted,2022,131
4,1,304.0,69.0,2.56,13.0,Rejected,2019,132
4,1,,120.0,4.0,112.0,Rejected,2021,133
4,1,340.0,120.0,,31.0,Rejected,2019,134
4,1,322.0,85.0,2.81,50.0,Rejected,2022,135
4,1,279.0,65.0,2.03,11.0,Rejected,2018,136
4,1,340.0,,4.0,106.0,Admitted,2019,137
4,1,300.0,,2.69,4.0,Admitted,2023,138
4,1,320.0,99.0,,,Rejected,2019,139
4,1,270.0,117.0,3.41,16.0,Rejected,2019,140
4,1,,84.0,2.19,16.0,Rejected,2021,141
4,1,,106.0,2.14,29.0,Rejected,2021,142
4,1,315.0,60.0,2.96,,Rejected,2022,143
4,1,,120.0,,,Admitted,2019,144
5,1,336.0,75.0,3.65,24.0,Admitted,2018,145
5,1,340.0,120.0,4.0,93.0,Admitted,2018,146
5,1,305.0,94.0,3.94,23.0,Rejected,2023,147
5,1,266.0,79.0,3.55,53.0,Admitted,2018,148
5,1,322.0,,3.8,12.0,Rejected,2022,149
5,1,331.0,71.0,2.98,50.0,Rejected,2019,150
5,1,261.0,89.0,2.15,4.0,Admitted,2020,151
5,1,281.0,,2.82,60.0,Rejected,2021,152
5,1,,110.0,2.46,55.0,Rejected,2018,153
5,1,315.0,88.0,3.11,33.0,Admitted,2021,154
5,1,262.0,60.0,2.26,28.0,Rejected,2018,155
5,1,245.0,136.0,4.87,-7.0,Admitted,2021,156
5,1,270.0,70.0,3.67,33.0,Rejected,2019,157
5,1,192.0,127.0,4.14,-10.0,Admitted,2022,158
5,1,294.0,89.0,2.24,21.0,Rejected,2023,159
5,1,309.0,,3.58,,Admitted,2020,160
5,1,271.0,104.0,,38.0,Rejected,2023,161
5,1,289.0,80.0,3.85,20.0,Rejected,2019,162
5,1,325.0,104.0,3.01,4.0,Admitted,2022,163
5,1,303.0,113.0,3.15,20.0,Rejected,2023,164
5,1,312.0,119.0,2.45,40.0,Admitted,2019,165
5,1,,,3.94,,Admitted,2021,166
5,1,273.0,,2.74,55.0,Admitted,2020,167
5,1,270.0,101.0,3.11,40.0,Rejected,2019,168
5,1,284.0,96.0,3.24,,Rejected,2019,169
5,1,285.0,103.0,2.27,47.0,Admitted,2020,170
5,1,330.0,,2.13,35.0,Admitted,2019,171
6,2,329.0,97.0,3.66,33.0,Admitted,2023,172
6,2,340.0,109.0,3.67,52.0,Admitted,2023,173
6,2,319.0,94.0,3.68,33.0,Admitted,2021,174
6,2,309.0,63.0,,11.0,Admitted,2019,175
6,2,291.0,81.0,3.43,25.0,Rejected,2021,176
6,2,340.0,102.0,,38.0,Rejected,2021,177
6,2,293.0,,3.91,30.0,Rejected,2022,178
6,2,312.0,64.0,,51.0,Rejected,2020,179
6,2,318.0,,2.38,21.0,Rejected,2018,180
6,2,,93.0,3.81,16.0,Admitted,2023,181
6,2,211.0,139.0,4.77,-6.0,Rejected,2018,182
6,2,296.0,73.0,3.96,60.0,Rejected,2023,183
6,2,314.0,66.0,2.07,45.0,Admitted,2021,184
6,2,326.0,104.0,,15.0,Rejected,2022,185
6,2,317.0,102.0,2.95,55.0,Admitted,2019,186
6,2,331.0,,3.11,,Admitted,2018,187
6,2,265.0,72.0,3.69,30.0,Rejected,2021,188
6,2,297.0,120.0,3.99,30.0,Rejected,2021,189
6,2,292.0,,3.36,16.0,Rejected,2021,190
6,2,250.0,137.0,,-5.0,Rejected,2022,191
6,2,115.0,129.0,4.32,-6.0,Admitted,2023,192
6,2,281.0,63.0,2.26,,Rejected,2019,193
6,2,292.0,,,59.0,Admitted,2018,194
6,2,,120.0,4.0,105.0,Rejected,2022,195
6,2,284.0,,3.46,50.0,Rejected,2023,196
6,2,260.0,113.0,2.85,51.0,Admitted,2021,197
6,2,292.0,92.0,2.67,54.0,Admitted,2021,198
6,2,323.0,78.0,2.73,12.0,Rejected,2018,199
6,2,333.0,62.0,2.52,21.0,Rejected,2020,200
6,2,263.0,93.0,2.22,40.0,Rejected,2022,201
6,2,322.0,73.0,2.37,20.0,Rejected,2022,202
6,2,323.0,80.0,2.13,39.0,Rejected,2019,203
6,2,280.0,,3.52,28.0,Rejected,2021,204
6,2,332.0,99.0,3.73,58.0,Rejected,2023,205
6,2,,,2.38,52.0,Rejected,2018,206
6,2,329.0,109.0,2.04,9.0,Rejected,2020,207
6,2,100.0,145.0,4.28,-4.0,Admitted,2018,208
6,2,317.0,61.0,3.79,9.0,Rejected,2023,209
6,2,289.0,62.0,2.77,12.0,Admitted,2018,210
6,2,275.0,113.0,3.99,30.0,Admitted,2021,211
6,2,297.0,69.0,2.62,44.0,Admitted,2019,212
6,2,289.0,73.0,2.37,11.0,Rejected,2018,213
6,2,297.0,73.0,3.14,59.0,Rejected,2022,214
6,2,278.0,64.0,3.01,39.0,Admitted,2022,215
7,2,340.0,120.0,4.0,113.0,Admitted,2023,216
7,2,323.0,107.0,3.33,43.0,Rejected,2023,217
7,2,305.0,93.0,2.62,19.0,Rejected,2023,218
7,2,173.0,137.0,4.46,-5.0,Rejected,2021,219
7,2,,124.0,4.23,-9.0,Rejected,2020,220
7,2,311.0,80.0,2.15,23.0,Admitted,2021,221
7,2,288.0,60.0,2.2,57.0,Rejected,2023,222
7,2,280.0,80.0,2.2,21.0,Admitted,2022,223
7,2,267.0,,3.68,1.0,Admitted,2018,224
7,2,331.0,110.0,,56.0,Admitted,2022,225
7,2,295.0,83.0,3.56,,Rejected,2019,226
7,2,275.0,107.0,3.98,55.0,Admitted,2018,227
7,2,305.0,91.0,2.25,55.0,Rejected,2021,228
7,2,307.0,95.0,3.29,38.0,Rejected,2022,229
7,2,279.0,68.0,2.78,19.0,Admitted,2021,230
7,2,269.0,69.0,3.61,28.0,Admitted,2022,231
7,2,340.0,,4.0,,Rejected,2023,232
7,2,245.0,132.0,4.39,-2.0,Admitted,2021,233
7,2,,77.0,2.54,42.0,Rejected,2021,234
7,2,329.0,,2.94,17.0,Admitted,2019,235
7,2,321.0,61.0,2.84,20.0,Admitted,2021,236
7,2,,106.0,3.3,14.0,Admitted,2023,237
7,2,311.0,,3.85,37.0,Admitted,2022,238
7,2,340.0,120.0,,83.0,Rejected,2021,239
7,2,303.0,102.0,3.6,2.0,Rejected,2019,240
7,2,279.0,114.0,3.42,,Rejected,2021,241
7,2,,112.0,2.36,27.0,Admitted,2019,242
7,2,,,2.09,,Rejected,2020,243
7,2,294.0,105.0,2.97,1.0,Admitted,2020,244
7,2,289.0,97.0,2.59,22.0,Rejected,2020,245
7,2,279.0,66.0,2.14,13.0,Rejected,2019,246
7,2,307.0,73.0,2.47,17.0,Rejected,2022,247
7,2,,97.0,2.77,7.0,Rejected,2020,248
7,2,262.0,75.0,2.33,38.0,Rejected,2022,249
7,2,,133.0,4.61,-11.0,Admitted,2021,250
8,2,340.0,120.0,4.0,83.0,Admitted,2023,251
8,2,293.0,88.0,,,Rejected,2019,252
8,2,340.0,120.0,4.0,,Admitted,2020,253
8,2,286.0,108.0,2.19,35.0,Rejected,2018,254
8,2,,83.0,3.08,,Admitted,2019,255
8,2,304.0,101.0,2.31,54.0,Admitted,2019,256
8,2,266.0,91.0,2.71,27.0,Rejected,2023,257
8,2,335.0,72.0,2.58,23.0,Admitted,2021,258
8,2,296.0,97.0,2.9,11.0,Admitted,2022,259
8,2,260.0,60.0,3.5,44.0,Rejected,2018,260
8,2,324.0,106.0,2.77,52.0,Admitted,2018,261
8,2,260.0,,2.72,38.0,Admitted,2021,262
8,2,337.0,94.0,2.15,59.0,Rejected,2021,263
8,2,315.0,115.0,,52.0,Rejected,2018,264
8,2,340.0,120.0,4.0,,Admitted,2023,265
8,2,287.0,115.0,3.96,39.0,Rejected,2019,266
8,2,281.0,115.0,3.89,19.0,Rejected,2022,267
8,2,210.0,145.0,4.76,-11.0,Admitted,2020,268
8,2,312.0,96.0,,14.0,Admitted,2022,269
8,2,340.0,120.0,4.0,81.0,Rejected,2021,270
8,2,272.0,83.0,2.5,30.0,Admitted,2018,271
8,2,112.0,144.0,4.73,-2.0,Rejected,2021,272
8,2,301.0,61.0,,1.0,Admitted,2018,273
8,2,292.0,63.0,2.65,,Rejected,2022,274
8,2,278.0,89.0,3.45,17.0,Rejected,2019,275
8,2,,91.0,2.81,41.0,Admitted,2023,276
8,2,287.0,104.0,2.72,13.0,Rejected,2018,277
8,2,327.0,64.0,3.5,14.0,Rejected,2020,278
8,2,297.0,119.0,,34.0,Admitted,2019,279
8,2,326.0,96.0,2.38,55.0,Rejected,2021,280
8,2,310.0,107.0,2.39,44.0,Admitted,2020,281
9,3,272.0,83.0,3.97,16.0,Admitted,2018,282
9,3,310.0,,3.15,44.0,Admitted,2022,283
9,3,340.0,120.0,4.0,104.0,Admitted,2019,284
9,3,333.0,95.0,3.62,47.0,Admitted,2022,285
9,3,329.0,83.0,3.23,,Rejected,2020,286
9,3,283.0,94.0,,24.0,Rejected,2022,287
9,3,332.0,60.0,2.07,44.0,Admitted,2021,288
9,3,263.0,111.0,2.53,,Admitted,2020,289
9,3,283.0,66.0,2.08,37.0,Rejected,2022,290
9,3,300.0,120.0,3.92,25.0,Rejected,2020,291
9,3,157.0,148.0,4.53,-9.0,Rejected,2021,292
9,3,268.0,74.0,,17.0,Admitted,2021,293
9,3,268.0,120.0,,52.0,Rejected,2020,294
9,3,323.0,83.0,3.68,53.0,Rejected,2020,295
9,3,335.0,85.0,,20.0,Rejected,2018,296
9,3,326.0,71.0,2.77,50.0,Rejected,2018,297
9,3,266.0,96.0,2.62,4.0,Admitted,2022,298
9,3,340.0,,4.0,87.0,Admitted,2018,299
9,3,276.0,66.0,2.77,37.0,Rejected,2019,300
9,3,320.0,116.0,,38.0,Rejected,2022,301
9,3,332.0,75.0,3.88,45.0,Admitted,2020,302
9,3,,,3.77,57.0,Admitted,2021,303
9,3,295.0,91.0,2.82,34.0,Rejected,2018,304
9,3,314.0,62.0,3.35,35.0,Rejected,2021,305
9,3,,83.0,3.2,24.0,Admitted,2023,306
9,3,326.0,88.0,3.71,36.0,Rejected,2018,307
9,3,306.0,68.0,,14.0,Rejected,2018,308
9,3,305.0,95.0,2.55,,Admitted,2023,309
9,3,278.0,100.0,3.08,32.0,Admitted,2019,310
9,3,263.0,88.0,2.26,36.0,Admitted,2022,311
9,3,290.0,89.0,2.06,40.0,Admitted,2018,312
9,3,268.0,106.0,2.39,13.0,Rejected,2019,313
9,3,,79.0,2.57,32.0,Admitted,2020,314
9,3,284.0,76.0,2.72,22.0,Admitted,2020,315
9,3,298.0,82.0,3.12,29.0,Rejected,2018,316
9,3,338.0,102.0,2.64,2.0,Admitted,2019,317
9,3,278.0,97.0,3.47,33.0,Rejected,2019,318
10,3,315.0,75.0,3.44,49.0,Rejected,2019,319
10,3,317.0,113.0,3.06,33.0,Rejected,2021,320
10,3,,93.0,3.94,9.0,Admitted,2021,321
10,3,296.0,,2.3,47.0,Admitted,2021,322
10,3,333.0,64.0,3.65,10.0,Admitted,2023,323
10,3,,65.0,3.84,40.0,Admitted,2018,324
10,3,330.0,60.0,,14.0,Admitted,2020,325
10,3,305.0,73.0,3.33,50.0,Rejected,2021,326
10,3,337.0,77.0,2.83,30.0,Admitted,2020,327
10,3,337.0,,2.03,51.0,Admitted,2019,328
10,3,318.0,115.0,2.93,,Rejected,2018,329
10,3,292.0,78.0,2.09,27.0,Rejected,2020,330
10,3,327.0,71.0,3.61,,Admitted,2019,331
10,3,328.0,118.0,3.88,13.0,Rejected,2022,332
10,3,324.0,79.0,2.35,1.0,Admitted,2019,333
10,3,264.0,113.0,2.68,7.0,Admitted,2018,334
10,3,283.0,104.0,2.88,33.0,Rejected,2019,335
10,3,302.0,116.0,2.64,11.0,Rejected,2022,336
10,3,322.0,90.0,,10.0,Admitted,2019,337
10,3,285.0,67.0,3.85,,Rejected,2019,338
10,3,340.0,120.0,4.0,72.0,Rejected,2023,339
10,3,337.0,113.0,3.42,52.0,Rejected,2021,340
10,3,295.0,98.0,3.59,,Admitted,2022,341
10,3,333.0,69.0,3.0,33.0,Admitted,2020,342
10,3,340.0,120.0,4.0,116.0,Admitted,2022,343
10,3,296.0,108.0,2.81,,Rejected,2019,344
10,3,268.0,70.0,2.37,57.0,Admitted,2020,345
10,3,154.0,124.0,,-1.0,Admitted,2022,346
10,3,300.0,,3.89,6.0,Rejected,2020,347
10,3,317.0,77.0,3.59,19.0,Rejected,2020,348
10,3,,79.0,2.15,,Rejected,2023,349
10,3,304.0,75.0,3.99,42.0,Rejected,2020,350
10,3,296.0,63.0,2.65,56.0,Rejected,2020,351
10,3,283.0,81.0,2.6,17.0,Rejected,2021,352
10,3,324.0,99.0,2.19,15.0,Rejected,2018,353
10,3,314.0,114.0,3.46,,Rejected,2018,354
10,3,263.0,95.0,3.13,44.0,Admitted,2018,355
10,3,321.0,107.0,3.72,21.0,Rejected,2021,356
10,3,283.0,115.0,3.67,49.0,Rejected,2022,357
10,3,,111.0,,11.0,Admitted,2018,358
10,3,338.0,67.0,2.94,27.0,Admitted,2023,359
11,3,264.0,60.0,2.05,,Admitted,2022,360
11,3,,88.0,2.58,0.0,Admitted,2018,361
11,3,328.0,103.0,3.86,32.0,Rejected,2019,362
11,3,298.0,82.0,3.12,,Rejected,2018,363
11,3,323.0,61.0,2.57,,Rejected,2018,364
11,3,331.0,89.0,3.35,,Rejected,2023,365
11,3,,108.0,,43.0,Admitted,2022,366
11,3,317.0,104.0,2.36,29.0,Rejected,2020,367
11,3,,66.0,2.08,31.0,Rejected,2018,368
11,3,320.0,71.0,3.75,57.0,Rejected,2018,369
11,3,283.0,113.0,3.83,18.0,Admitted,2020,370
11,3,,61.0,3.43,55.0,Admitted,2021,371
11,3,296.0,105.0,2.44,47.0,Rejected,2020,372
11,3,282.0,113.0,3.94,36.0,Admitted,2022,373
11,3,,113.0,2.37,43.0,Rejected,2019,374
11,3,317.0,110.0,,25.0,Admitted,2023,375
11,3,267.0,94.0,2.99,57.0,Rejected,2018,376
11,3,321.0,,3.38,41.0,Rejected,2023,377
11,3,,,3.9,0.0,Rejected,2020,378
11,3,287.0,60.0,3.28,44.0,Rejected,2018,379
11,3,340.0,119.0,2.1,43.0,Rejected,2020,380
11,3,315.0,103.0,2.87,37.0,Admitted,2020,381
11,3,,76.0,2.16,12.0,Admitted,2023,382
11,3,320.0,90.0,3.28,10.0,Rejected,2020,383
11,3,284.0,106.0,2.99,44.0,Admitted,2020,384
11,3,269.0,109.0,3.52,14.0,Admitted,2019,385
11,3,339.0,89.0,2.54,53.0,Rejected,2018,386
11,3,314.0,112.0,2.53,53.0,Rejected,2018,387
11,3,340.0,120.0,4.0,74.0,Rejected,2021,388
11,3,305.0,98.0,3.49,18.0,Admitted,2018,389
11,3,288.0,68.0,3.02,32.0,Rejected,2018,390
11,3,316.0,100.0,3.94,42.0,Admitted,2022,391
11,3,321.0,,3.68,23.0,Rejected,2023,392
11,3,,69.0,,52.0,Admitted,2018,393
11,3,299.0,,3.4,15.0,Admitted,2022,394
11,3,,87.0,2.37,45.0,Rejected,2023,395
11,3,262.0,102.0,2.41,39.0,Rejected,2021,396
11,3,282.0,97.0,3.16,1.0,Admitted,2020,397
11,3,280.0,75.0,,42.0,Rejected,2018,398
11,3,306.0,61.0,3.45,0.0,Rejected,2021,399
11,3,301.0,72.0,2.68,,Admitted,2022,400
11,3,277.0,116.0,2.28,26.0,Rejected,2023,401
11,3,260.0,117.0,3.05,28.0,Admitted,2020,402
11,3,305.0,104.0,3.05,37.0,Admitted,2020,403
11,3,217.0,,4.41,-12.0,Rejected,2021,404
11,3,287.0,114.0,2.8,35.0,Admitted,2023,405
11,3,265.0,117.0,3.62,54.0,Rejected,2020,406
12,3,,118.0,2.45,3.0,Rejected,2022,407
12,3,264.0,110.0,3.96,18.0,Rejected,2023,408
12,3,305.0,100.0,3.86,51.0,Rejected,2021,409
12,3,331.0,116.0,,,Admitted,2018,410
12,3,319.0,111.0,3.69,41.0,Admitted,2023,411
12,3,,108.0,2.58,,Admitted,2022,412
12,3,303.0,,2.99,26.0,Admitted,2022,413
12,3,267.0,,3.4,20.0,Rejected,2022,414
12,3,297.0,102.0,3.14,36.0,Admitted,2018,415
12,3,338.0,93.0,2.55,36.0,Admitted,2022,416
12,3,,90.0,2.19,51.0,Rejected,2021,417
12,3,139.0,134.0,4.21,-4.0,Admitted,2021,418
12,3,,120.0,4.0,74.0,Rejected,2023,419
12,3,282.0,104.0,2.45,50.0,Rejected,2022,420
12,3,340.0,120.0,4.0,78.0,Admitted,2018,421
12,3,305.0,89.0,3.57,21.0,Admitted,2021,422
12,3,,86.0,2.67,33.0,Admitted,2023,423
12,3,340.0,120.0,4.0,96.0,Admitted,2021,424
12,3,120.0,137.0,4.86,-11.0,Admitted,2021,425
12,3,,112.0,2.99,34.0,Admitted,2023,426
12,3,,75.0,2.46,,Admitted,2021,427
12,3,112.0,,4.59,-4.0,Rejected,2021,428
12,3,153.0,,4.45,-4.0,Admitted,2023,429
12,3,304.0,,2.23,32.0,Rejected,2020,430
12,3,340.0,120.0,4.0,83.0,Rejected,2018,431
12,3,288.0,92.0,2.26,57.0,Rejected,2023,432
12,3,,76.0,3.31,50.0,Rejected,2019,433
12,3,282.0,107.0,2.02,59.0,Rejected,2020,434
12,3,306.0,70.0,3.48,49.0,Rejected,2021,435
12,3,306.0,91.0,2.4,,Admitted,2018,436
12,3,340.0,120.0,4.0,,Admitted,2021,437
12,3,250.0,138.0,4.22,-1.0,Rejected,2023,438
12,3,267.0,89.0,2.79,31.0,Rejected,2023,439
12,3,,81.0,2.06,,Admitted,2021,440
12,3,269.0,83.0,3.13,36.0,Rejected,2023,441
12,3,295.0,106.0,3.07,1.0,Rejected,2018,442
12,3,324.0,100.0,3.84,44.0,Admitted,2021,443
12,3,269.0,,2.74,27.0,Rejected,2018,444
12,3,174.0,145.0,4.47,-6.0,Rejected,2020,445
12,3,324.0,86.0,,25.0,Admitted,2021,446
12,3,335.0,74.0,2.52,,Rejected,2018,447
12,3,295.0,100.0,3.4,,Rejected,2023,448
12,3,,127.0,4.95,,Rejected,2019,449
12,3,267.0,109.0,2.25,18.0,Admitted,2022,450
12,3,340.0,120.0,4.0,107.0,Admitted,2022,451
12,3,,112.0,2.32,38.0,Admitted,2018,452
13,3,332.0,85.0,3.22,15.0,Admitted,2020,453
13,3,275.0,100.0,3.03,32.0,Admitted,2023,454
13,3,,65.0,,36.0,Admitted,2022,455
13,3,319.0,82.0,2.06,,Admitted,2020,456
13,3,160.0,148.0,4.29,-7.0,Admitted,2021,457
13,3,,65.0,3.78,25.0,Rejected,2021,458
13,3,262.0,,3.09,44.0,Rejected,2018,459
13,3,337.0,69.0,3.26,43.0,Rejected,2023,460
13,3,300.0,,3.47,44.0,Rejected,2023,461
13,3,334.0,91.0,,7.0,Rejected,2018,462
13,3,298.0,102.0,2.69,20.0,Admitted,2019,463
13,3,293.0,60.0,2.57,18.0,Admitted,2022,464
13,3,262.0,104.0,3.7,11.0,Admitted,2021,465
13,3,334.0,69.0,2.91,52.0,Rejected,2021,466
13,3,264.0,,3.3,41.0,Admitted,2023,467
13,3,340.0,120.0,,77.0,Admitted,2023,468
13,3,264.0,117.0,3.74,,Rejected,2018,469
13,3,268.0,97.0,3.45,59.0,Admitted,2019,470
13,3,312.0,66.0,2.76,7.0,Admitted,2018,471
13,3,,92.0,2.82,13.0,Rejected,2018,472
13,3,287.0,66.0,3.95,13.0,Rejected,2019,473
13,3,325.0,93.0,2.9,56.0,Rejected,2021,474
13,3,298.0,,,60.0,Admitted,2018,475
13,3,302.0,,2.52,,Admitted,2019,476
13,3,339.0,61.0,3.44,22.0,Admitted,2018,477
13,3,297.0,119.0,,49.0,Admitted,2022,478
13,3,340.0,120.0,4.0,117.0,Rejected,2020,479
13,3,293.0,78.0,3.62,11.0,Rejected,2020,480
13,3,286.0,97.0,3.56,22.0,Admitted,2019,481
13,3,308.0,119.0,2.74,16.0,Rejected,2019,482
13,3,274.0,97.0,3.15,55.0,Admitted,2018,483
13,3,265.0,73.0,3.51,20.0,Admitted,2019,484
13,3,266.0,78.0,2.1,31.0,Admitted,2020,485
14,4,306.0,79.0,2.52,4.0,Admitted,2018,486
